tourney_id;tourney_name;tourney_date;match_num;winner_id;winner_name;winner_hand;winner_ht;winner_ioc;winner_age;loser_id;loser_name;loser_hand;loser_ht;loser_ioc;loser_age;score;minutes;winner_rank;winner_rank_points;loser_rank;loser_rank_points
2022-8888;Atp Cup;20220103;300;200000;Felix Auger Aliassime;R;193;CAN;21;105138;Roberto Bautista Agut;R;183;ESP;33;7-6(3) 6-3;129;11;3308;19;2260
2022-8888;Atp Cup;20220103;299;133430;Denis Shapovalov;L;185;CAN;22;105807;Pablo Carreno Busta;R;188;ESP;26;6-4 6-3;98;14;2475;20;2230
2022-8888;Atp Cup;20220103;298;105138;Roberto Bautista Agut;R;183;ESP;33;128034;Hubert Hurkacz;R;196;POL;26;7-6(6) 2-6 7-6(5);164;19;2260;9;3706
2022-8888;Atp Cup;20220103;297;105807;Pablo Carreno Busta;R;188;ESP;30;126591;Jan Zielinski;R;;POL;25;6-2 6-1;53;20;2230;860;18
2022-8888;Atp Cup;20220103;296;106421;Daniil Medvedev;R;198;RUS;25;200000;Felix Auger Aliassime;R;193;CAN;26;6-4 6-0;68;2;8640;11;3308
2022-8888;Atp Cup;20220103;295;133430;Denis Shapovalov;L;185;CAN;22;126128;Roman Safiullin;R;185;RUS;26;6-4 5-7 6-4;159;14;2475;167;409
2022-8888;Atp Cup;20220103;294;134770;Casper Ruud;R;183;NOR;23;105583;Dusan Lajovic;R;180;SRB;26;6-3 7-5;100;8;4160;33;1591
2022-8888;Atp Cup;20220103;293;105936;Filip Krajinovic;R;185;SRB;29;126340;Viktor Durasovic;R;185;NOR;26;6-2 7-5;73;42;1402;345;137
2022-8888;Atp Cup;20220103;292;106426;Cristian Garin;R;185;CHI;25;105583;Dusan Lajovic;R;180;SRB;26;4-6 6-4 3-0 RET;134;17;2353;33;1591
2022-8888;Atp Cup;20220103;291;105936;Filip Krajinovic;R;185;SRB;29;126214;Alejandro Tabilo;L;188;CHI;26;6-4 3-6 7-6(5);145;42;1402;139;505
2022-8888;Atp Cup;20220103;290;105138;Roberto Bautista Agut;R;183;ESP;33;105583;Dusan Lajovic;R;180;SRB;26;6-1 6-4;84;19;2260;33;1591
2022-8888;Atp Cup;20220103;289;105807;Pablo Carreno Busta;R;188;ESP;30;105936;Filip Krajinovic;R;185;SRB;26;6-3 6-4;80;20;2230;42;1402
2022-8888;Atp Cup;20220103;288;134770;Casper Ruud;R;183;NOR;23;106426;Cristian Garin;R;185;CHI;26;6-4 6-1;84;8;4160;17;2353
2022-8888;Atp Cup;20220103;287;126214;Alejandro Tabilo;L;188;CHI;24;126340;Viktor Durasovic;R;185;NOR;26;6-1 6-7(5) 6-1;109;139;505;345;137
2022-8888;Atp Cup;20220103;286;105138;Roberto Bautista Agut;R;183;ESP;33;134770;Casper Ruud;R;183;NOR;23;6-4 7-6(4);105;19;2260;8;4160
2022-8888;Atp Cup;20220103;285;105807;Pablo Carreno Busta;R;188;ESP;30;126340;Viktor Durasovic;R;185;NOR;26;6-3 6-3;68;20;2230;345;137
2022-8888;Atp Cup;20220103;284;105138;Roberto Bautista Agut;R;183;ESP;33;106426;Cristian Garin;R;185;CHI;26;6-0 6-3;81;19;2260;17;2353
2022-8888;Atp Cup;20220103;283;105807;Pablo Carreno Busta;R;188;ESP;30;126214;Alejandro Tabilo;L;188;CHI;26;6-4 7-6(4);112;20;2230;139;505
2022-8888;Atp Cup;20220103;282;106421;Daniil Medvedev;R;198;RUS;25;126610;Matteo Berrettini;R;196;ITA;26;6-2 6-7(5) 6-4;157;2;8640;7;4568
2022-8888;Atp Cup;20220103;281;206173;Jannik Sinner;R;188;ITA;20;126128;Roman Safiullin;R;185;RUS;26;7-6(6) 6-3;116;10;3350;167;409
2022-8888;Atp Cup;20220103;280;200005;Ugo Humbert;L;188;FRA;23;106421;Daniil Medvedev;R;198;RUS;26;6-7(5) 7-5 7-6(2);175;35;1558;2;8640
2022-8888;Atp Cup;20220103;279;126128;Roman Safiullin;R;185;RUS;24;126239;Arthur Rinderknech;R;196;FRA;26;2-6 7-5 6-3;145;167;409;58;1029
2022-8888;Atp Cup;20220103;278;106421;Daniil Medvedev;R;198;RUS;25;200282;Alex De Minaur;R;183;AUS;26;6-4 6-2;80;2;8640;34;1561
2022-8888;Atp Cup;20220103;277;126128;Roman Safiullin;R;185;RUS;24;105902;James Duckworth;R;183;AUS;26;7-6(6) 6-4;118;167;409;49;1176
2022-8888;Atp Cup;20220103;276;126610;Matteo Berrettini;R;196;ITA;25;200005;Ugo Humbert;L;188;FRA;26;6-4 7-6(6);95;7;4568;35;1558
2022-8888;Atp Cup;20220103;275;206173;Jannik Sinner;R;188;ITA;20;126239;Arthur Rinderknech;R;196;FRA;26;6-3 7-6(3);96;10;3350;58;1029
2022-8888;Atp Cup;20220103;274;200282;Alex De Minaur;R;183;AUS;22;126610;Matteo Berrettini;R;196;ITA;26;6-3 7-6(4);84;34;1561;7;4568
2022-8888;Atp Cup;20220103;273;206173;Jannik Sinner;R;188;ITA;20;126845;Max Purcell;R;185;AUS;26;6-1 6-3;63;10;3350;176;386
2022-8888;Atp Cup;20220103;272;200282;Alex De Minaur;R;183;AUS;22;200005;Ugo Humbert;L;188;FRA;26;3-6 7-6(2) 6-1;137;34;1561;35;1558
2022-8888;Atp Cup;20220103;271;126239;Arthur Rinderknech;R;196;FRA;26;105902;James Duckworth;R;183;AUS;26;6-4 7-6(6);113;58;1029;49;1176
2022-8888;Atp Cup;20220103;270;200000;Felix Auger Aliassime;R;193;CAN;21;100644;Alexander Zverev;R;198;GER;26;6-4 4-6 6-3;151;11;3308;3;7840
2022-8888;Atp Cup;20220103;269;133430;Denis Shapovalov;L;185;CAN;22;105526;Jan Lennard Struff;R;193;GER;31;7-6(5) 4-6 6-3;154;14;2475;51;1134
2022-8888;Atp Cup;20220103;268;100644;Alexander Zverev;R;198;GER;24;111815;Cameron Norrie;L;188;GBR;26;7-6(2) 6-1;87;3;7840;12;2945
2022-8888;Atp Cup;20220103;267;105554;Daniel Evans;R;175;GBR;31;105526;Jan Lennard Struff;R;193;GER;31;6-1 6-2;69;25;1942;51;1134
